Refinery_ID,Refinery_Name,Emirate,Operator,Capacity_BPD,Commissioned_Year,No_of_Employees,Crude_Source,Annual_Throughput_Million_Tons,Environmental_Rating,Petrol_Output_BPD,Diesel_Output_BPD,Gas_Output_BPD,Employee_Category,Average_Salary_AED
R001,Umm Al Quwain Refining Co.,Fujairah,Ajman Petro,762632,2009,2456,Offshore,23.97,7.8,332328,293866,136436,Administration,23487
R002,Ruwais Refinery,Abu Dhabi,Fujairah Energy,729852,2000,1992,Onshore,24.66,6.53,340905,291854,97092,Administration,14971
R003,Fujairah Refinery,Abu Dhabi,Sharjah Refining Ltd.,769411,2005,1712,Offshore,14.99,6.18,325999,330649,112761,Engineering,10954
R004,Sharjah Petrochem,Umm Al Quwain,Fujairah Energy,893222,1991,810,Onshore,24.48,7.68,411717,306461,175043,Engineering,14055
R005,Umm Al Quwain Refining Co.,Ras Al Khaimah,Sharjah Refining Ltd.,567323,1999,764,Onshore,8.44,6.42,237993,247493,81836,Engineering,8458
R006,Emirates Fuel Processing,Ras Al Khaimah,Sharjah Refining Ltd.,732249,2001,825,Mixed,19.12,8.46,296517,281412,154319,Maintenance,18262
R007,Ruwais Refinery,Fujairah,Sharjah Refining Ltd.,720812,2011,770,Mixed,32.31,5.98,237996,364723,118091,Maintenance,20511
R008,Ajman Refinery,Ras Al Khaimah,Sharjah Refining Ltd.,727271,2018,1790,Imported,3.68,5.05,272646,340564,114060,Engineering,9175
R009,Ruwais Refinery,Ajman,Gulf Energy,476102,2013,1527,Offshore,7.23,7.23,190924,182754,102422,Operations,15886
R010,Jebel Ali Refinery,Fujairah,Ajman Petro,294966,2002,1353,Offshore,26.72,7.59,106497,106798,81669,Engineering,10582
R011,Dubai Energy Refinery,Abu Dhabi,Fujairah Energy,128263,1994,750,Offshore,1.65,8.66,48859,52204,27198,Engineering,14185
R012,Al Ain Petro,Ras Al Khaimah,UAE National Oil Co.,548928,1988,1136,Onshore,34.23,5.29,201163,230274,117489,Quality Control,19606
